Name of Redevelopment Project Area,Date Designated,Date Terminated
KostnerAvenue,11/5/2008,12/31/2032
LakeCalumet,12/13/2000,12/31/2024
Lakefront,3/27/2002,12/31/2026
LakesideClarendon,7/21/2004,12/31/2012
LaSalleCentral,11/15/2006,12/31/2030
LawrenceKedzie,2/16/2000,12/31/2024
LawrenceBroadway,6/27/2001,12/31/2025
LawrencePulaski,2/27/2002,12/31/2026
LincolnAvenue,11/3/1999,12/31/2023
LincolnBelmontAshland,11/2/1994,12/31/2018
LittleVillageEast,4/22/2009,12/31/2033
LittleVillage,6/13/2007,12/31/2031
MaddenWells,11/6/2002,12/31/2026
MadisonAustin,9/29/1999,12/31/2023
MichiganCermak,9/13/1989,12/31/2013
Midway,2/16/2000,12/31/2024
Midwest,5/17/2000,12/31/2024
Montclare,8/30/2000,12/31/2024
MontroseClarendon,6/30/2010,12/31/2034
NearNorth,7/30/1997,7/30/2020
NearSouth,11/28/1990,12/31/2014
NearWest,3/23/1989,12/31/2013
NorthBranchNorth,7/2/1997,12/31/2021
NorthBranchSouth,2/5/1998,2/5/2021
NorthPullman,6/30/2009,12/31/2033
NorthCicero,7/30/1997,7/30/2020
Northwest,12/2/1998,12/2/2021
OgdenPulaski,4/9/2008,12/31/2032
OhioWabash,6/7/2000,12/31/2024
PershingKing,9/5/2007,12/31/2031
PetersonCicero,2/16/2000,12/31/2024
PetersonPulaski,2/16/2000,12/31/2024
Pilsen,6/10/1998,12/31/2022
PortagePark,9/9/1998,9/9/2021
PrattRidge,6/23/2004,12/31/2028
Pulaski,6/9/1999,6/9/2022
RandolphWells,6/9/2010,12/31/2034
Ravenswood,3/9/2005,12/31/2029
ReadDunning,1/11/1991,12/31/2015
RiverSouth,7/30/1997,7/30/2020
RiverWest,1/10/2001,12/31/2025
RooseveltCanal,3/19/1997,12/31/2021
RooseveltCicero,2/5/1998,2/5/2021
RooseveltRacine,11/4/1998,12/31/2022
RooseveltUnion,5/12/1999,5/12/2022
RooseveltHoman,12/5/1990,12/31/2014
RoselandMichigan,1/16/2002,12/31/2026
SanitaryDrainageShipCanal,7/24/1991,12/31/2015
SouthChicago,4/12/2000,12/31/2024
SouthWorks,11/3/1999,12/31/2023
StevensonBrighton,4/11/2007,12/31/2031
StockyardsAnnex,12/11/1996,12/31/2020
Stockyards,3/9/1989,12/31/2013
StockyardsSEQuadrant,2/26/1992,2/26/2015
StonyIslandBurnside,6/10/1998,12/31/2034
TouhyWestern,9/13/2006,12/31/2030
WeedFremont,1/8/2008,12/31/2032
WestGrand,6/10/1996,12/31/2012
WestIrvingPark,1/12/2000,12/31/2024
WestPullman,3/11/1998,3/11/2021
WestWoodlawn,5/12/2010,12/31/2034
WesternNorth,1/12/2000,12/31/2024
WesternRockIsland,2/8/2006,12/31/2030
WesternSouth,1/12/2000,12/31/2024
WesternOgden,2/5/1998,2/5/2021
WilsonYard,6/27/2001,12/31/2025
Woodlawn,1/20/1999,1/20/2022
